param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.17399259391533256,97.54499816894531,29.751354217529297,1.0616938197927084e-05,0.9999677538871765,100.70716857910156,29.653202056884766,-0.007394406013190746,0.9972703456878662,34.09647750854492,0.14833910763263702,0.9746054410934448,722.5,2.0,83.59130859375,83.59130859375,668.0968017578125,668.0968017578125,9.531415700912476,2.0,1,2000,209.83241763430095,-94.71783447265625,352.6968078613281,0.7476500272750854
0.16720346283821505,161.6817626953125,45.114654541015625,2.188046664741705e-06,0.9999960660934448,162.77230834960938,43.71352005004883,0.028840845450758934,0.9828761219978333,64.5330581665039,0.08623243868350983,0.9820481538772583,861.25,4.0,-252.0907745361328,-252.0907745361328,579.5961303710938,579.5961303710938,18.85879397392273,4.0,2,4000,212.10264057876967,-155.53082275390625,93.13447570800781,0.8367953896522522
0.15136711368692907,220.74847412109375,55.85185623168945,6.3117346371655e-07,0.9999989867210388,220.71371459960938,53.43783187866211,-0.15100249648094177,0.9516546726226807,91.19864654541016,0.046422816812992096,0.9860526323318481,907.5,6.0,-365.2906188964844,-365.2906188964844,499.6056823730469,499.6056823730469,28.012109994888306,6.0,3,6000,214.19307581952555,-215.2075958251953,92.8057632446289,0.7182905077934265
0.15751322548474425,276.0320739746094,60.48666763305664,2.349217709252116e-07,0.9999995827674866,276.0623779296875,57.19072341918945,-0.013589988462626934,0.9758679270744324,116.19196319580078,0.01517304964363575,0.985674262046814,930.625,8.0,-416.8348083496094,-416.8348083496094,441.7867431640625,441.7867431640625,37.105985164642334,8.0,4,8000,215.5986416882165,-270.04559326171875,66.71609497070312,1.7629303101784899e-06
0.15440959267203633,327.5980529785156,64.59262084960938,7.311503225082561e-08,0.9999998211860657,327.4178161621094,61.21634292602539,-0.0011803463567048311,0.9991161227226257,140.34487915039062,0.022360384464263916,0.9871280193328857,944.5,10.0,-451.599853515625,-451.599853515625,401.21990966796875,401.21990966796875,46.2090699672699,10.0,5,10000,216.4077313627616,-322.83770751953125,56.54239273071289,0.7779678106307983
0.14838458355742482,374.0519104003906,68.82626342773438,1.565615370680007e-08,0.9999999403953552,374.1291809082031,66.00200653076172,0.11121705919504166,0.9437631368637085,160.91412353515625,0.02056865580379963,0.9875673651695251,953.75,12.0,-475.9874572753906,-475.9874572753906,370.30029296875,370.30029296875,55.54674959182739,12.0,6,12000,216.03424301474453,-366.23980712890625,83.56322479248047,0.3685379922389984
0.14838458355742482,411.63311767578125,72.65190887451172,2.8610229740877458e-09,1.0,411.6208190917969,69.97640991210938,-0.3333335518836975,0.9428085088729858,181.20457458496094,0.0054302033968269825,0.988525927066803,960.3571428571429,14.0,-491.0741271972656,-491.0741271972656,344.88458251953125,344.88458251953125,64.76077365875244,14.0,7,14000,216.18024629802883,-407.1134338378906,49.75001907348633,0.034716639667749405
0.15440959267203633,449.179443359375,78.53742218017578,7.947286162490741e-10,1.0,448.8484191894531,75.72003936767578,-0.0026147039607167244,0.9990409016609192,199.80743408203125,-0.004520039074122906,0.9899695515632629,965.3125,16.0,-504.6898193359375,-504.6898193359375,324.61505126953125,324.61505126953125,73.90787768363953,16.0,8,16000,216.48571845734125,-442.3399353027344,38.3820915222168,0.08148915320634842
0.15751322548474425,477.51947021484375,82.5528335571289,9.926160515760785e-08,0.9999998211860657,478.49755859375,80.43843841552734,0.05077541992068291,0.9794041514396667,216.59400939941406,-0.003852203954011202,0.9909452795982361,969.1666666666666,18.0,-515.2655639648438,-515.2655639648438,307.5083312988281,307.5083312988281,82.9880690574646,18.0,9,18000,216.8986482567272,-473.52996826171875,33.31233215332031,0.0029918074142187834
0.15751322548474425,505.28399658203125,89.40373992919922,4.78808078696602e-06,0.9999803900718689,506.03826904296875,86.3550033569336,0.3215063810348511,0.9463593363761902,231.39927673339844,0.022477172315120697,0.9914833903312683,972.25,20.0,-523.4585571289062,-523.4585571289062,292.7623291015625,292.7623291015625,92.1091296672821,20.0,10,20000,217.133742032351,-498.776123046875,33.16474914550781,0.0030814404599368572
0.14259466822295333,542.2813110351562,122.54170989990234,0.010320568457245827,0.9968801140785217,540.9410400390625,115.97671508789062,0.04885924234986305,0.9904311895370483,246.35824584960938,0.027335036545991898,0.992014467716217,974.7727272727273,22.0,-530.30810546875,-530.30810546875,279.9772033691406,279.9772033691406,101.22243356704712,22.0,11,22000,217.34312468814306,-523.7612915039062,106.0004653930664,0.3501777648925781
0.12160776493778987,610.738525390625,265.67303466796875,0.0688219889998436,0.9917470216751099,606.7979125976562,246.69155883789062,0.3199942111968994,0.945921003818512,266.19744873046875,0.04853135347366333,0.9907415509223938,976.875,24.0,-534.7902221679688,-534.7902221679688,268.5067443847656,268.5067443847656,110.325443983078,24.0,12,24000,217.53821361173203,-557.0245971679688,165.2244873046875,0.4585300385951996
0.11008992318755192,672.592529296875,368.3490295410156,0.22358079254627228,0.9609005451202393,680.5013427734375,359.17230224609375,0.030410027131438255,0.9955782890319824,279.0639953613281,0.06333872675895691,0.9905267357826233,978.6538461538462,26.0,-539.8062744140625,-539.8062744140625,258.5574645996094,258.5574645996094,119.50456476211548,26.0,13,26000,217.56491102875714,-589.0801391601562,146.71629333496094,1.0391712188720703
