episodes,steps,total reward
115,10000,30.0
243,20000,75.0
662,30000,348.0
1146,40000,382.0
1627,50000,387.0
2103,60000,397.0
2586,70000,400.0
3071,80000,387.0
3548,90000,391.0
4035,100000,389.0
