% time spent exploring,episodes,mean 100 episode reward,steps
1,23300,1.0,489473
1,23400,1.0,491185
1,23500,1.0,492934
1,23600,1.0,494636
1,23700,1.0,496372
1,23800,1.0,498163
1,23900,1.0,499877
1,24000,1.0,501600
1,24100,1.0,503324
1,24200,1.0,505031
1,24300,1.0,506742
1,24400,1.0,508469
1,24500,1.0,510197
1,24600,1.0,511924
1,24700,1.0,513628
1,24800,1.0,515336
1,24900,1.0,517139
1,25000,1.0,518869
1,25100,1.0,520588
1,25200,1.0,522299
1,25300,1.0,524008
1,25400,1.0,525749
1,25500,1.0,527481
1,25600,1.0,529188
1,25700,1.0,530891
1,25800,1.0,532647
1,25900,1.0,534395
1,26000,1.0,536106
1,26100,1.0,537815
1,26200,1.0,539561
1,26300,1.0,541269
1,26400,1.0,542977
1,26500,1.0,544709
1,26600,1.0,546435
1,26700,1.0,548156
1,26800,1.0,549865
1,26900,1.0,551583
1,27000,1.0,553314
1,27100,1.0,555029
1,27200,1.0,556748
1,27300,1.0,558463
1,27400,1.0,560172
1,27500,1.0,561892
1,27600,1.0,563606
1,27700,1.0,565319
1,27800,1.0,567048
1,27900,1.0,568761
1,28000,1.0,570469
1,28100,1.0,572173
1,28200,1.0,573891
1,28300,1.0,575614
1,28400,1.0,577318
1,28500,1.0,579032
1,28600,1.0,580762
1,28700,1.0,582482
1,28800,1.0,584256
1,28900,1.0,585964
1,29000,1.0,587671
1,29100,1.0,589379
1,29200,1.0,591115
1,29300,1.0,592827
1,29400,1.0,594581
1,29500,1.0,596290
1,29600,1.0,598001
1,29700,1.0,599713
1,29800,1.0,601425
1,29900,1.0,603137
1,30000,1.0,604845
1,30100,1.0,606565
1,30200,1.0,608310
1,30300,1.0,610071
1,30400,1.0,611786
1,30500,1.0,613495
1,30600,1.0,615203
1,30700,1.0,616937
1,30800,1.0,618646
1,30900,1.0,620359
1,31000,1.0,622075
1,31100,1.0,623789
1,31200,1.0,625515
1,31300,1.0,627287
1,31400,1.0,628998
1,31500,1.0,630707
1,31600,1.0,632423
1,31700,1.0,634174
1,31800,1.0,635932
1,31900,1.0,637660
1,32000,1.0,639369
1,32100,1.0,641080
1,32200,1.0,642872
1,32300,1.0,644593
1,32400,1.0,646307
1,32500,1.0,648020
1,32600,1.0,649727
1,32700,1.0,651441
1,32800,1.0,653202
1,32900,1.0,654917
1,33000,1.0,656622
1,33100,1.0,658339
1,33200,1.0,660046
1,33300,1.0,661752
1,33400,1.0,663489
1,33500,1.0,665309
1,33600,1.0,667020
1,33700,1.0,668731
1,33800,1.0,670441
1,33900,1.0,672149
1,34000,1.0,673868
1,34100,1.0,675586
1,34200,1.0,677297
1,34300,1.0,679004
1,34400,1.0,680734
1,34500,1.0,682445
1,34600,1.0,684155
1,34700,1.0,685861
1,34800,1.0,687575
1,34900,1.0,689282
1,35000,1.0,690987
1,35100,1.0,692725
1,35200,1.0,694429
1,35300,1.0,696144
1,35400,1.0,697852
1,35500,1.0,699568
1,35600,1.0,701278
1,35700,1.0,702990
1,35800,1.0,704703
1,35900,1.0,706410
1,36000,1.0,708121
1,36100,1.0,709835
1,36200,1.0,711579
1,36300,1.0,713291
1,36400,1.0,715009
1,36500,1.0,716745
1,36600,1.0,718461
1,36700,1.0,720173
1,36800,1.0,721882
1,36900,1.0,723592
1,37000,1.0,725315
1,37100,1.0,727044
1,37200,1.0,728821
1,37300,1.0,730525
1,37400,1.0,732237
1,37500,1.0,733945
1,37600,1.0,735666
1,37700,1.0,737419
1,37800,1.0,739162
1,37900,1.0,740875
1,38000,1.0,742583
1,38100,1.0,744293
1,38200,1.0,745999
1,38300,1.0,747720
1,38400,1.0,749431
1,38500,1.0,751139
1,38600,1.0,752847
1,38700,1.0,754573
1,38800,1.0,756281
1,38900,1.0,757991
1,39000,1.0,759699
1,39100,1.0,761414
1,39200,1.0,763116
1,39300,1.0,764829
1,39400,1.0,766542
1,39500,1.0,768247
1,39600,1.0,769962
1,39700,1.0,771691
1,39800,1.0,773399
1,39900,1.0,775114
1,40000,1.0,776820
1,40100,1.0,778548
1,40200,1.0,780305
1,40300,1.0,782034
1,40400,1.0,783758
1,40500,1.0,785485
1,40600,1.0,787193
1,40700,1.0,788960
1,40800,1.0,790679
1,40900,1.0,792398
1,41000,1.0,794108
1,41100,1.0,795819
1,41200,1.0,797552
1,41300,1.0,799276
1,41400,1.0,800986
1,41500,1.0,802704
1,41600,1.0,804421
1,41700,1.0,806128
1,41800,1.0,807839
1,41900,1.0,809550
1,42000,1.0,811295
1,42100,1.0,813017
1,42200,1.0,814725
1,42300,1.0,816496
1,42400,1.0,818234
1,42500,1.0,819955
1,42600,1.0,821663
1,42700,1.0,823367
1,42800,1.0,825085
1,42900,1.0,826795
1,43000,1.0,828538
1,43100,1.0,830245
1,43200,1.0,831955
1,43300,1.0,833679
1,43400,1.0,835392
1,43500,1.0,837213
1,43600,1.0,838927
1,43700,1.0,840640
1,43800,1.0,842348
1,43900,1.0,844066
1,44000,1.0,845794
1,44100,1.0,847501
1,44200,1.0,849218
1,44300,1.0,850925
1,44400,1.0,852639
1,44500,1.0,854389
1,44600,1.0,856096
1,44700,1.0,857817
1,44800,1.0,859531
1,44900,1.0,861254
1,45000,1.0,862966
1,45100,1.0,864684
1,45200,1.0,866427
1,45300,1.0,868176
1,45400,1.0,869894
1,45500,1.0,871606
1,45600,1.0,873314
1,45700,1.0,875020
1,45800,1.0,876743
1,45900,1.0,878464
1,46000,1.0,880220
