episodes,mean 100 episode reward,steps
100,-568.0,97798
200,-559.0,196338
300,-533.8,294015
400,-569.2,392612
500,-584.2,491989
600,-546.0,589932
700,-559.4,688492
800,-583.4,787619
900,-559.5,886115
1000,-563.5,985321
1100,-598.3,1085321
1200,-597.4,1185321
1300,-570.9,1284139
1400,-570.0,1382830
1500,-567.9,1481175
1600,-556.5,1579220
1700,-598.2,1679220
1800,-535.2,1777240
1900,-571.5,1876296
2000,-502.6,1972063
2100,-558.4,2070420
2200,-559.9,2169111
2300,-574.0,2268440
2400,-558.1,2366864
2500,-555.8,2464730
2600,-571.0,2563649
2700,-586.1,2663197
2800,-598.6,2763197
2900,-574.0,2862518
3000,-557.0,2960641
