episodes,steps,total reward
90,10000,0.0
133,20000,3.0
301,30000,104.0
746,40000,343.0
1191,50000,365.0
1646,60000,368.0
2107,70000,360.0
2556,80000,375.0
3015,90000,361.0
3467,100000,373.0
