episodes,mean 100 episode reward,steps
100,-451.3,98999
200,48.6,198999
300,1800.3,298999
400,3294.6,398999
500,2976.0,498999
600,3821.0,598999
700,4565.1,698999
800,4465.8,798999
900,4546.0,898999
1000,4218.1,998999
1100,4596.5,1098999
1200,4723.9,1198999
1300,4943.6,1298999
1400,5162.8,1398999
1500,4973.6,1498999
1600,5177.2,1598999
1700,5420.7,1698999
1800,5169.6,1798999
1900,5371.3,1898999
2000,5324.3,1998999
2100,5526.9,2098999
2200,5457.6,2198999
2300,5777.3,2298999
2400,5617.8,2398999
2500,5628.6,2498999
2600,5670.1,2598999
2700,5890.3,2698999
2800,5892.2,2798999
2900,5791.6,2898999
3000,5660.2,2998999
