param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.1655479830081337,-4.580131530761719,0.043039631098508835,-0.3328665792942047,0.9420502781867981,-4.517241954803467,0.03889917582273483,0.1009860411286354,0.9601007699966431,-2.211048126220703,0.21645799279212952,0.9412044286727905,1000.0,2.0,-559.632080078125,-559.632080078125,5.918609619140625,5.918609619140625,10.783115863800049,2.0,1,2000,185.47514700404835,4.401196479797363,0.004417144227772951,0.8005217909812927
0.13840098012420968,-9.280621528625488,0.0697774738073349,0.0005327436956577003,0.996423065662384,-9.255724906921387,0.06601502001285553,-0.06265334784984589,0.9657638669013977,-4.466686725616455,0.06755011528730392,0.9649125337600708,1000.0,4.0,-561.3717651367188,-561.3717651367188,6.5056843757629395,6.5056843757629395,22.041950702667236,4.0,2,4000,181.47214164288874,9.102805137634277,0.006380494683980942,0.8285926580429077
0.12040372766117809,-13.378740310668945,0.07278606295585632,0.6662761569023132,0.744873583316803,-13.318161964416504,0.06154053285717964,0.6029110550880432,0.7786544561386108,-6.729666709899902,0.058472372591495514,0.9674455523490906,1000.0,6.0,-563.623291015625,-563.623291015625,14.0674409866333,14.0674409866333,34.0175621509552,6.0,3,6000,176.37948226197398,13.20025634765625,0.005935066845268011,0.7204727530479431
0.10474678446421824,-17.432592391967773,0.05877315625548363,0.2035360336303711,0.9667328596115112,-17.420846939086914,0.05308878421783447,0.3604287803173065,0.9200730919837952,-8.862497329711914,0.15120740234851837,0.9612427353858948,1000.0,8.0,-568.1124267578125,-568.1124267578125,14.624235153198242,14.624235153198242,45.40994930267334,8.0,4,8000,176.17284588179513,17.25600242614746,0.00870895478874445,0.4434962868690491
0.09112582366609794,-20.89776611328125,0.08565551787614822,-0.07117536664009094,0.9907665848731995,-20.86968421936035,0.08449143171310425,-0.12947337329387665,0.9665517807006836,-10.89441204071045,0.16367101669311523,0.9572791457176208,1000.0,10.0,-565.9041137695312,-565.9041137695312,15.524734497070312,15.524734497070312,56.93844389915466,10.0,5,10000,175.6282630012034,20.726747512817383,0.010069439187645912,0.2735564410686493
0.07927609216167789,-24.250246047973633,0.12973946332931519,0.295911967754364,0.9467050433158875,-24.233858108520508,0.12196900695562363,-0.0005200501182116568,0.9994555711746216,-12.807663917541504,0.12240929901599884,0.9666708707809448,1000.0,12.0,-569.6624145507812,-569.6624145507812,16.631135940551758,16.631135940551758,68.57102131843567,12.0,6,12000,175.00103934974845,24.118715286254883,0.015887020155787468,0.24749474227428436
0.08086954161412761,-27.01287841796875,0.15968792140483856,0.24857129156589508,0.9620508551597595,-26.997827529907227,0.15729820728302002,0.24011380970478058,0.9646352529525757,-14.624879837036133,0.11092229187488556,0.965925395488739,1000.0,14.0,-567.1900634765625,-567.1900634765625,19.70334243774414,19.70334243774414,80.63418197631836,14.0,7,14000,173.623637728621,26.985475540161133,0.010013513267040253,0.07014358788728714
0.08415316929052308,-29.68953514099121,0.19506847858428955,0.25940996408462524,0.9591383337974548,-29.660968780517578,0.18856275081634521,0.23592859506607056,0.9640328884124756,-16.32931137084961,0.1481686383485794,0.9560028910636902,1000.0,16.0,-561.5377807617188,-561.5377807617188,24.12462043762207,24.12462043762207,92.34019947052002,16.0,8,16000,173.272313594125,29.622055053710938,0.009562266990542412,0.4005385935306549
0.08415316929052308,-32.10404968261719,0.275364488363266,0.41886213421821594,0.8867922425270081,-32.10287094116211,0.2755279242992401,0.26361995935440063,0.9534642696380615,-17.934558868408203,0.1684928685426712,0.9557909369468689,1000.0,18.0,-565.1556396484375,-565.1556396484375,24.94558334350586,24.94558334350586,103.88004422187805,18.0,9,18000,173.2767841487792,32.02003479003906,0.013499725610017776,0.2576661705970764
0.06896726455340647,-34.079402923583984,0.2745904326438904,0.20531395077705383,0.943316638469696,-34.05801773071289,0.26684385538101196,-0.13001002371311188,0.9562366604804993,-19.49150276184082,0.18337732553482056,0.950645923614502,1000.0,20.0,-562.4129028320312,-562.4129028320312,25.088624954223633,25.088624954223633,115.49681758880615,20.0,10,20000,173.1649444333987,34.1075439453125,0.011139408685266972,0.3631165623664856
0.05765782727904421,-35.34490966796875,0.5679377913475037,0.79335618019104,0.5335461497306824,-35.22846984863281,0.5855810642242432,0.02929617092013359,0.9679240584373474,-20.911212921142578,0.1750473827123642,0.952715277671814,980.0909090909091,22.0,-506.2056579589844,-506.2056579589844,258.1381530761719,258.1381530761719,127.41244149208069,22.0,11,22000,172.66759621247357,35.17245101928711,0.05321638658642769,0.22308731079101562
0.06369011171556996,-36.277217864990234,1.2053420543670654,0.6698973178863525,0.7358668446540833,-36.20115280151367,1.2452975511550903,0.8844231963157654,0.41638126969337463,-22.145933151245117,0.2204967886209488,0.9445232152938843,981.75,24.0,-512.9706420898438,-512.9706420898438,248.1915283203125,248.1915283203125,138.79041075706482,24.0,12,24000,172.92260948783402,36.443817138671875,0.020864157006144524,0.019393784925341606
0.06896726455340647,-37.04043960571289,1.9579890966415405,0.6672061085700989,0.7437297105789185,-36.94905090332031,1.9965907335281372,0.7144197821617126,0.6739370226860046,-23.264389038085938,0.2598809003829956,0.9346868991851807,983.1538461538462,26.0,-516.2542724609375,-516.2542724609375,238.78927612304688,238.78927612304688,150.71936869621277,26.0,13,26000,172.50603041209075,37.27003479003906,0.02708357572555542,0.006720715668052435
0.07927609216167789,-37.923912048339844,2.8224570751190186,0.666945219039917,0.7445775270462036,-37.75465393066406,2.8904988765716553,0.6540199518203735,0.7469198107719421,-24.28689193725586,0.28872597217559814,0.9279400110244751,984.3571428571429,28.0,-521.54638671875,-521.54638671875,230.8932647705078,230.8932647705078,162.56462359428406,28.0,14,28000,172.23919559448672,38.330108642578125,0.03372412919998169,0.05535077676177025
0.0893302849388275,-37.99038314819336,4.067832946777344,0.642889678478241,0.7444084286689758,-37.94748306274414,4.38719367980957,0.713550865650177,0.6701123714447021,-25.25136947631836,0.3143768012523651,0.9210931062698364,985.4,30.0,-526.3275146484375,-526.3275146484375,223.7862548828125,223.7862548828125,174.3097915649414,30.0,15,30000,172.10737119620217,39.403297424316406,42.47917175292969,0.10760156810283661
0.08757012541792716,-38.089561462402344,5.650104522705078,-0.001990261720493436,0.9982333183288574,-38.53017807006836,5.496796131134033,0.4121139347553253,0.8761352300643921,-26.192106246948242,0.33198267221450806,0.9165610671043396,986.3125,32.0,-530.73828125,-530.73828125,217.3538360595703,217.3538360595703,186.39121103286743,32.0,16,32000,171.68191473554648,40.826759338378906,42.49943542480469,0.3109837472438812
0.10268285899835138,-41.10933303833008,4.770417213439941,-0.6666654348373413,0.7453553676605225,-40.74755859375,4.703840255737305,-0.6666659116744995,0.7453556060791016,-27.115373611450195,0.289798378944397,0.9322961568832397,987.1176470588235,34.0,-534.7385864257812,-534.7385864257812,211.47061157226562,211.47061157226562,198.42888355255127,34.0,17,34000,171.34602277291728,42.31983947753906,0.2130575180053711,0.00039175714482553303
0.11803129856011968,-43.955379486083984,4.613595485687256,-0.6666656136512756,0.7453554272651672,-43.11080551147461,4.69050931930542,-0.6403993964195251,0.758638858795166,-28.1246395111084,0.23721802234649658,0.9479612112045288,987.8333333333334,36.0,-538.249267578125,-538.249267578125,206.02212524414062,206.02212524414062,210.37883353233337,36.0,18,36000,171.11987644169116,44.602046966552734,0.21285143494606018,0.0002899567480199039
0.13037998388052388,-46.314796447753906,4.793081283569336,-0.6666657328605652,0.7453555464744568,-46.57290267944336,4.380867004394531,-0.6647787094116211,0.746590793132782,-29.152441024780273,0.19026918709278107,0.9592447876930237,988.4736842105264,38.0,-540.5955810546875,-540.5955810546875,200.81275939941406,200.81275939941406,222.37234330177307,38.0,19,38000,170.88455981430945,47.43715286254883,42.57429504394531,0.20523279905319214
0.1384009801242097,-47.84311294555664,4.473784446716309,-0.07991834729909897,0.9775235056877136,-47.66395568847656,4.599637508392334,-0.6666387319564819,0.745343804359436,-30.14581871032715,0.1477741152048111,0.9674785137176514,989.05,40.0,-543.3031005859375,-543.3031005859375,196.08436584472656,196.08436584472656,234.57520961761475,40.0,20,40000,170.52100290224493,48.8638801574707,0.160060316324234,0.825239896774292
