episodes,steps,total reward
112,10000,32.0
438,20000,247.0
853,30000,342.0
1281,40000,343.0
1703,50000,350.0
2142,60000,341.0
2570,70000,345.0
3001,80000,345.0
3423,90000,339.0
3847,100000,348.0
