r,l,rm
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,10,../experiments/water/reward_machines/t9.txt
0.0,7,../experiments/water/reward_machines/t10.txt
1.0,147,../experiments/water/reward_machines/t1.txt
1.0,87,../experiments/water/reward_machines/t2.txt
1.0,251,../experiments/water/reward_machines/t3.txt
1.0,485,../experiments/water/reward_machines/t4.txt
1.0,503,../experiments/water/reward_machines/t5.txt
1.0,464,../experiments/water/reward_machines/t6.txt
1.0,443,../experiments/water/reward_machines/t7.txt
1.0,406,../experiments/water/reward_machines/t8.txt
0.0,119,../experiments/water/reward_machines/t9.txt
0.0,11,../experiments/water/reward_machines/t10.txt
1.0,200,../experiments/water/reward_machines/t1.txt
1.0,496,../experiments/water/reward_machines/t2.txt
1.0,166,../experiments/water/reward_machines/t3.txt
1.0,339,../experiments/water/reward_machines/t4.txt
1.0,215,../experiments/water/reward_machines/t5.txt
1.0,101,../experiments/water/reward_machines/t6.txt
0.0,600,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,60,../experiments/water/reward_machines/t9.txt
0.0,12,../experiments/water/reward_machines/t10.txt
1.0,387,../experiments/water/reward_machines/t1.txt
1.0,46,../experiments/water/reward_machines/t2.txt
1.0,100,../experiments/water/reward_machines/t3.txt
0.0,600,../experiments/water/reward_machines/t4.txt
1.0,104,../experiments/water/reward_machines/t5.txt
1.0,236,../experiments/water/reward_machines/t6.txt
1.0,191,../experiments/water/reward_machines/t7.txt
1.0,514,../experiments/water/reward_machines/t8.txt
0.0,73,../experiments/water/reward_machines/t9.txt
0.0,46,../experiments/water/reward_machines/t10.txt
1.0,238,../experiments/water/reward_machines/t1.txt
1.0,106,../experiments/water/reward_machines/t2.txt
1.0,242,../experiments/water/reward_machines/t3.txt
0.0,600,../experiments/water/reward_machines/t4.txt
1.0,584,../experiments/water/reward_machines/t5.txt
1.0,489,../experiments/water/reward_machines/t6.txt
1.0,398,../experiments/water/reward_machines/t7.txt
1.0,224,../experiments/water/reward_machines/t8.txt
0.0,156,../experiments/water/reward_machines/t9.txt
0.0,23,../experiments/water/reward_machines/t10.txt
1.0,175,../experiments/water/reward_machines/t1.txt
1.0,67,../experiments/water/reward_machines/t2.txt
1.0,105,../experiments/water/reward_machines/t3.txt
1.0,376,../experiments/water/reward_machines/t4.txt
1.0,554,../experiments/water/reward_machines/t5.txt
1.0,294,../experiments/water/reward_machines/t6.txt
1.0,310,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,17,../experiments/water/reward_machines/t9.txt
0.0,21,../experiments/water/reward_machines/t10.txt
1.0,136,../experiments/water/reward_machines/t1.txt
1.0,58,../experiments/water/reward_machines/t2.txt
1.0,315,../experiments/water/reward_machines/t3.txt
1.0,369,../experiments/water/reward_machines/t4.txt
1.0,430,../experiments/water/reward_machines/t5.txt
1.0,287,../experiments/water/reward_machines/t6.txt
1.0,203,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,94,../experiments/water/reward_machines/t9.txt
0.0,20,../experiments/water/reward_machines/t10.txt
1.0,81,../experiments/water/reward_machines/t1.txt
1.0,71,../experiments/water/reward_machines/t2.txt
1.0,267,../experiments/water/reward_machines/t3.txt
1.0,267,../experiments/water/reward_machines/t4.txt
1.0,160,../experiments/water/reward_machines/t5.txt
1.0,178,../experiments/water/reward_machines/t6.txt
0.0,600,../experiments/water/reward_machines/t7.txt
1.0,532,../experiments/water/reward_machines/t8.txt
0.0,40,../experiments/water/reward_machines/t9.txt
0.0,60,../experiments/water/reward_machines/t10.txt
1.0,68,../experiments/water/reward_machines/t1.txt
1.0,98,../experiments/water/reward_machines/t2.txt
1.0,55,../experiments/water/reward_machines/t3.txt
1.0,328,../experiments/water/reward_machines/t4.txt
1.0,308,../experiments/water/reward_machines/t5.txt
1.0,213,../experiments/water/reward_machines/t6.txt
1.0,399,../experiments/water/reward_machines/t7.txt
1.0,424,../experiments/water/reward_machines/t8.txt
0.0,30,../experiments/water/reward_machines/t9.txt
0.0,11,../experiments/water/reward_machines/t10.txt
1.0,94,../experiments/water/reward_machines/t1.txt
1.0,75,../experiments/water/reward_machines/t2.txt
1.0,466,../experiments/water/reward_machines/t3.txt
1.0,126,../experiments/water/reward_machines/t4.txt
1.0,533,../experiments/water/reward_machines/t5.txt
0.0,600,../experiments/water/reward_machines/t6.txt
1.0,201,../experiments/water/reward_machines/t7.txt
1.0,517,../experiments/water/reward_machines/t8.txt
0.0,31,../experiments/water/reward_machines/t9.txt
0.0,101,../experiments/water/reward_machines/t10.txt
1.0,154,../experiments/water/reward_machines/t1.txt
1.0,382,../experiments/water/reward_machines/t2.txt
1.0,65,../experiments/water/reward_machines/t3.txt
1.0,340,../experiments/water/reward_machines/t4.txt
1.0,425,../experiments/water/reward_machines/t5.txt
1.0,489,../experiments/water/reward_machines/t6.txt
1.0,249,../experiments/water/reward_machines/t7.txt
1.0,231,../experiments/water/reward_machines/t8.txt
0.0,90,../experiments/water/reward_machines/t9.txt
0.0,12,../experiments/water/reward_machines/t10.txt
1.0,88,../experiments/water/reward_machines/t1.txt
1.0,204,../experiments/water/reward_machines/t2.txt
1.0,103,../experiments/water/reward_machines/t3.txt
1.0,177,../experiments/water/reward_machines/t4.txt
1.0,71,../experiments/water/reward_machines/t5.txt
1.0,594,../experiments/water/reward_machines/t6.txt
1.0,401,../experiments/water/reward_machines/t7.txt
1.0,523,../experiments/water/reward_machines/t8.txt
0.0,7,../experiments/water/reward_machines/t9.txt
0.0,21,../experiments/water/reward_machines/t10.txt
1.0,115,../experiments/water/reward_machines/t1.txt
1.0,95,../experiments/water/reward_machines/t2.txt
1.0,68,../experiments/water/reward_machines/t3.txt
1.0,112,../experiments/water/reward_machines/t4.txt
1.0,233,../experiments/water/reward_machines/t5.txt
1.0,417,../experiments/water/reward_machines/t6.txt
1.0,366,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,14,../experiments/water/reward_machines/t9.txt
0.0,8,../experiments/water/reward_machines/t10.txt
1.0,105,../experiments/water/reward_machines/t1.txt
1.0,143,../experiments/water/reward_machines/t2.txt
1.0,153,../experiments/water/reward_machines/t3.txt
1.0,298,../experiments/water/reward_machines/t4.txt
1.0,202,../experiments/water/reward_machines/t5.txt
1.0,455,../experiments/water/reward_machines/t6.txt
1.0,344,../experiments/water/reward_machines/t7.txt
1.0,376,../experiments/water/reward_machines/t8.txt
0.0,159,../experiments/water/reward_machines/t9.txt
0.0,13,../experiments/water/reward_machines/t10.txt
1.0,257,../experiments/water/reward_machines/t1.txt
1.0,30,../experiments/water/reward_machines/t2.txt
1.0,148,../experiments/water/reward_machines/t3.txt
1.0,447,../experiments/water/reward_machines/t4.txt
1.0,58,../experiments/water/reward_machines/t5.txt
1.0,251,../experiments/water/reward_machines/t6.txt
1.0,375,../experiments/water/reward_machines/t7.txt
1.0,576,../experiments/water/reward_machines/t8.txt
0.0,58,../experiments/water/reward_machines/t9.txt
0.0,56,../experiments/water/reward_machines/t10.txt
1.0,179,../experiments/water/reward_machines/t1.txt
1.0,96,../experiments/water/reward_machines/t2.txt
1.0,46,../experiments/water/reward_machines/t3.txt
0.0,600,../experiments/water/reward_machines/t4.txt
1.0,162,../experiments/water/reward_machines/t5.txt
1.0,435,../experiments/water/reward_machines/t6.txt
