% time spent exploring,episodes,mean 100 episode reward,steps
84,100,0.6,30688
72,200,0.7,56254
61,300,0.8,76847
52,400,0.8,96457
43,500,0.8,113599
36,600,0.8,128532
29,700,0.8,141864
23,800,0.8,154415
17,900,0.8,166321
12,1000,0.9,176523
6,1100,0.8,188355
1,1200,0.8,198091
1,1300,0.8,208753
1,1400,0.8,219239
1,1500,0.9,229295
1,1600,0.8,238458
1,1700,0.8,247252
1,1800,0.8,256825
1,1900,0.9,265546
1,2000,0.9,274232
1,2100,0.9,283538
1,2200,0.9,292601
1,2300,0.9,301493
1,2400,0.9,309255
1,2500,0.9,317297
1,2600,0.9,326714
1,2700,0.9,337122
1,2800,0.9,345367
1,2900,0.9,353490
1,3000,0.9,364537
1,3100,0.9,373575
1,3200,0.9,381507
1,3300,0.9,388915
1,3400,0.9,396198
1,3500,0.9,403724
1,3600,0.9,412252
1,3700,0.9,421299
1,3800,0.9,429735
1,3900,0.9,436751
1,4000,0.9,445383
1,4100,0.9,452663
1,4200,0.9,459820
1,4300,0.9,467059
1,4400,0.9,473070
1,4500,0.9,479259
1,4600,0.9,486238
1,4700,0.9,494419
1,4800,0.9,501498
1,4900,0.9,509634
1,5000,0.9,517941
1,5100,0.9,524867
1,5200,0.9,532076
1,5300,0.9,539851
1,5400,0.9,546843
1,5500,0.9,554528
1,5600,0.9,562928
1,5700,0.9,571080
1,5800,0.9,578850
1,5900,0.9,587397
1,6000,0.9,594934
1,6100,0.9,603725
1,6200,0.9,612773
1,6300,0.9,619945
1,6400,0.9,627940
1,6500,0.9,633956
1,6600,0.9,640383
1,6700,0.9,647838
1,6800,0.9,656201
1,6900,0.9,663765
1,7000,0.9,670251
1,7100,0.9,677199
1,7200,0.9,684651
1,7300,0.9,690887
1,7400,0.9,698257
1,7500,0.9,706283
1,7600,0.9,712827
1,7700,0.9,720679
1,7800,0.9,729329
1,7900,0.9,737032
1,8000,0.9,744233
1,8100,0.9,752081
1,8200,0.9,758822
1,8300,0.9,766321
1,8400,0.9,773893
1,8500,0.9,782516
1,8600,0.9,790725
1,8700,0.9,798599
1,8800,0.9,805701
1,8900,0.9,812449
1,9000,0.9,820235
1,9100,0.9,827230
1,9200,0.9,835662
1,9300,0.9,842698
1,9400,0.9,850199
1,9500,0.9,858310
1,9600,0.9,865848
1,9700,0.9,873238
1,9800,0.9,880622
1,9900,0.9,888034
1,10000,0.9,894595
1,10100,0.9,901405
1,10200,0.9,909039
1,10300,0.9,916881
1,10400,0.9,922910
1,10500,0.9,930458
1,10600,0.9,936249
1,10700,0.9,943748
1,10800,0.9,951082
1,10900,0.9,959971
1,11000,0.9,967495
1,11100,0.9,975055
1,11200,0.9,982721
1,11300,0.9,990369
1,11400,0.9,998054
1,11500,0.9,1005743
1,11600,0.9,1013856
1,11700,0.9,1021091
1,11800,0.9,1028824
1,11900,0.9,1036752
1,12000,0.9,1043605
1,12100,0.9,1050480
1,12200,0.9,1057095
1,12300,0.9,1063808
1,12400,0.9,1070289
1,12500,0.9,1076964
1,12600,0.9,1083413
1,12700,0.9,1091245
1,12800,0.9,1099149
1,12900,0.9,1106923
1,13000,0.9,1114826
1,13100,0.9,1122264
1,13200,0.9,1129604
1,13300,0.9,1136641
1,13400,0.9,1143416
1,13500,0.9,1150290
1,13600,0.9,1156075
1,13700,0.9,1163960
1,13800,0.9,1170645
1,13900,0.9,1178104
1,14000,0.9,1185366
1,14100,0.9,1192025
1,14200,0.9,1197948
1,14300,0.9,1204001
1,14400,0.9,1209923
1,14500,0.9,1216003
1,14600,0.9,1221431
1,14700,0.9,1227603
1,14800,0.9,1234118
1,14900,0.9,1240432
1,15000,0.9,1246349
1,15100,0.9,1255055
1,15200,0.9,1262090
1,15300,0.9,1269421
1,15400,0.9,1277251
1,15500,0.9,1284605
1,15600,0.9,1291838
1,15700,0.9,1299599
1,15800,0.9,1306811
1,15900,0.9,1312813
1,16000,0.9,1319548
1,16100,0.9,1326684
1,16200,0.9,1332622
1,16300,0.9,1339625
1,16400,0.9,1345132
1,16500,0.9,1352235
1,16600,1.0,1358758
1,16700,0.9,1364551
1,16800,0.9,1371676
1,16900,0.9,1378576
1,17000,0.9,1385046
1,17100,0.9,1391124
1,17200,0.9,1397548
1,17300,0.9,1404867
1,17400,0.9,1411197
1,17500,0.9,1417124
1,17600,0.9,1422944
1,17700,0.9,1429423
1,17800,0.9,1435142
1,17900,0.9,1441350
1,18000,0.9,1446886
1,18100,0.9,1452288
1,18200,0.9,1459452
1,18300,0.9,1466482
1,18400,0.9,1473048
1,18500,0.9,1480421
1,18600,0.9,1488237
1,18700,0.9,1495882
1,18800,0.9,1502820
1,18900,0.9,1509830
1,19000,0.9,1517186
1,19100,0.9,1524021
1,19200,0.9,1530686
1,19300,0.9,1537262
1,19400,0.9,1544574
1,19500,0.9,1551397
1,19600,0.9,1558475
1,19700,0.9,1565196
1,19800,0.9,1571141
1,19900,0.9,1577551
1,20000,0.9,1584406
1,20100,0.9,1591145
1,20200,0.9,1598241
1,20300,0.9,1604646
1,20400,1.0,1611354
1,20500,0.9,1617415
1,20600,0.9,1624122
1,20700,0.9,1631318
1,20800,0.9,1638988
1,20900,0.9,1645999
1,21000,0.9,1652604
1,21100,0.9,1660670
1,21200,0.9,1666887
1,21300,0.9,1673449
1,21400,0.9,1680175
1,21500,1.0,1687164
1,21600,0.9,1694472
1,21700,0.9,1701534
1,21800,1.0,1707952
1,21900,0.9,1715303
1,22000,0.9,1721835
1,22100,0.9,1728642
1,22200,1.0,1735606
1,22300,1.0,1743196
1,22400,1.0,1751105
1,22500,1.0,1758759
1,22600,0.9,1765974
1,22700,1.0,1773767
1,22800,1.0,1781147
1,22900,0.9,1789279
1,23000,0.9,1796955
1,23100,0.9,1804071
1,23200,0.9,1811259
1,23300,0.9,1818669
1,23400,0.9,1824565
1,23500,0.9,1831308
1,23600,0.9,1838241
1,23700,0.9,1844123
1,23800,0.9,1850753
1,23900,0.9,1857923
1,24000,0.9,1865859
1,24100,0.9,1873704
1,24200,0.9,1881338
1,24300,0.9,1889133
1,24400,0.9,1896232
1,24500,0.9,1903526
1,24600,0.9,1910483
1,24700,0.9,1917491
1,24800,0.9,1925260
1,24900,0.9,1932799
1,25000,0.9,1939814
1,25100,0.9,1946471
1,25200,0.9,1953208
1,25300,0.9,1959746
1,25400,0.9,1967419
1,25500,0.9,1974956
1,25600,1.0,1982317
1,25700,1.0,1990206
1,25800,1.0,1997103
