episodes,steps,total reward
182,10000,19.0
299,20000,34.0
406,30000,44.0
534,40000,59.0
667,50000,59.0
801,60000,67.0
975,70000,93.0
1141,80000,91.0
1351,90000,137.0
1575,100000,154.0
