episodes,mean 100 episode reward,steps
100,-592.8,98999
200,-596.4,198999
300,-595.5,298999
400,-597.7,398999
500,-593.3,498999
600,-590.5,598999
700,-586.2,698999
800,-586.3,798999
900,-571.5,898999
1000,-585.3,998999
1100,-574.4,1098999
1200,-582.1,1198999
1300,-549.6,1298999
1400,-570.0,1398999
1500,-551.9,1498999
1600,-539.6,1598999
1700,-561.3,1698999
1800,-543.5,1798999
1900,-538.5,1898999
2000,-560.2,1998999
2100,-565.0,2098999
2200,-558.9,2198999
2300,-558.7,2298999
2400,-560.8,2398999
2500,-547.7,2498999
2600,-548.0,2598999
2700,-541.9,2698999
2800,-557.6,2798999
2900,-541.6,2898999
3000,-547.7,2998999
