episodes,steps,total reward
10,10000,1.0
22,20000,3.0
32,30000,1.0
42,40000,1.0
52,50000,1.0
63,60000,1.0
74,70000,2.0
85,80000,1.0
95,90000,2.0
106,100000,2.0
117,110000,2.0
127,120000,1.0
138,130000,2.0
148,140000,2.0
159,150000,1.0
169,160000,1.0
180,170000,2.0
190,180000,1.0
201,190000,1.0
212,200000,2.0
223,210000,2.0
234,220000,1.0
246,230000,2.0
256,240000,1.0
266,250000,1.0
277,260000,3.0
290,270000,3.0
300,280000,0.0
311,290000,2.0
321,300000,2.0
331,310000,0.0
342,320000,1.0
352,330000,1.0
363,340000,2.0
375,350000,3.0
385,360000,1.0
396,370000,2.0
406,380000,1.0
417,390000,1.0
427,400000,0.0
437,410000,2.0
447,420000,0.0
458,430000,2.0
469,440000,2.0
480,450000,2.0
491,460000,2.0
501,470000,0.0
512,480000,3.0
524,490000,3.0
535,500000,3.0
545,510000,1.0
556,520000,3.0
567,530000,1.0
578,540000,5.0
588,550000,0.0
599,560000,1.0
611,570000,4.0
622,580000,3.0
634,590000,3.0
646,600000,3.0
658,610000,5.0
669,620000,1.0
681,630000,3.0
691,640000,1.0
701,650000,1.0
713,660000,5.0
724,670000,2.0
736,680000,3.0
747,690000,2.0
758,700000,2.0
769,710000,3.0
779,720000,1.0
789,730000,1.0
800,740000,2.0
814,750000,7.0
825,760000,2.0
836,770000,2.0
848,780000,3.0
859,790000,3.0
870,800000,2.0
885,810000,6.0
896,820000,3.0
908,830000,3.0
919,840000,2.0
932,850000,5.0
942,860000,1.0
953,870000,3.0
963,880000,0.0
975,890000,4.0
987,900000,4.0
998,910000,2.0
1009,920000,3.0
1021,930000,3.0
1031,940000,0.0
1043,950000,4.0
1054,960000,2.0
1066,970000,3.0
1078,980000,4.0
1089,990000,2.0
1100,1000000,3.0
1112,1010000,5.0
1125,1020000,5.0
1138,1030000,4.0
1148,1040000,1.0
1160,1050000,4.0
1173,1060000,4.0
1184,1070000,2.0
1195,1080000,3.0
1206,1090000,2.0
1219,1100000,5.0
1230,1110000,2.0
1243,1120000,4.0
1255,1130000,3.0
1267,1140000,3.0
1280,1150000,6.0
1295,1160000,7.0
1306,1170000,3.0
1317,1180000,3.0
1330,1190000,4.0
1343,1200000,4.0
1354,1210000,3.0
1365,1220000,3.0
1379,1230000,5.0
1390,1240000,1.0
1402,1250000,5.0
1414,1260000,4.0
1426,1270000,3.0
1438,1280000,4.0
1449,1290000,2.0
1461,1300000,4.0
1474,1310000,6.0
1486,1320000,3.0
1497,1330000,3.0
1512,1340000,6.0
1524,1350000,4.0
1536,1360000,4.0
1548,1370000,4.0
1562,1380000,5.0
1574,1390000,5.0
1586,1400000,3.0
1598,1410000,4.0
1610,1420000,4.0
1622,1430000,3.0
1636,1440000,5.0
1647,1450000,2.0
1664,1460000,9.0
1676,1470000,3.0
1688,1480000,3.0
1702,1490000,6.0
1713,1500000,4.0
1725,1510000,4.0
1737,1520000,5.0
1748,1530000,3.0
1761,1540000,4.0
1775,1550000,5.0
1788,1560000,5.0
1800,1570000,5.0
1812,1580000,4.0
1826,1590000,4.0
1837,1600000,2.0
1853,1610000,8.0
1866,1620000,6.0
1878,1630000,4.0
1891,1640000,4.0
1904,1650000,5.0
1914,1660000,1.0
1926,1670000,4.0
1938,1680000,4.0
1949,1690000,2.0
1964,1700000,6.0
1976,1710000,4.0
1988,1720000,4.0
2001,1730000,3.0
2014,1740000,5.0
2026,1750000,2.0
2037,1760000,4.0
2049,1770000,3.0
2066,1780000,10.0
2079,1790000,5.0
2094,1800000,9.0
2108,1810000,4.0
2122,1820000,6.0
2134,1830000,4.0
2146,1840000,3.0
2160,1850000,6.0
2175,1860000,7.0
2187,1870000,4.0
2199,1880000,3.0
2213,1890000,5.0
2227,1900000,6.0
2239,1910000,3.0
2254,1920000,9.0
2267,1930000,6.0
2279,1940000,3.0
2294,1950000,6.0
2307,1960000,4.0
2322,1970000,7.0
2336,1980000,8.0
2349,1990000,4.0
2360,2000000,4.0
