1.0	0.0000	0.0083	0.0161
2.0	0.0038	0.0076	0.0136
3.0	0.0041	0.0076	0.0129
4.0	0.0041	0.0075	0.0126
5.0	0.0040	0.0071	0.0122
6.0	0.0039	0.0070	0.0115
7.0	0.0036	0.0063	0.0107
8.0	0.0034	0.0061	0.0100
9.0	0.0034	0.0065	0.0094
10.0	0.0032	0.0062	0.0088
11.0	0.0030	0.0060	0.0085
12.0	0.0030	0.0061	0.0082
13.0	0.0032	0.0058	0.0079
14.0	0.0034	0.0056	0.0085
15.0	0.0033	0.0052	0.0087
16.0	0.0032	0.0055	0.0084
17.0	0.0035	0.0055	0.0081
18.0	0.0039	0.0054	0.0077
19.0	0.0040	0.0060	0.0080
20.0	0.0040	0.0061	0.0088
21.0	0.0061	0.0085	0.0108
22.0	0.0092	0.0121	0.0154
23.0	0.0171	0.0206	0.0245
24.0	0.0289	0.0328	0.0370
25.0	0.0527	0.0572	0.0630
26.0	0.0792	0.0856	0.0925
27.0	0.1101	0.1142	0.1221
28.0	0.1406	0.1477	0.1542
29.0	0.1789	0.1866	0.1997
30.0	0.2222	0.2321	0.2419
31.0	0.2775	0.2831	0.2954
32.0	0.3290	0.3386	0.3463
33.0	0.4019	0.4174	0.4316
34.0	0.5041	0.5179	0.5323
35.0	0.6023	0.6170	0.6285
36.0	0.7019	0.7168	0.7297
37.0	0.7802	0.7967	0.8069
38.0	0.8324	0.8476	0.8606
39.0	0.8656	0.8858	0.8942
40.0	0.8886	0.9010	0.9202
41.0	0.8944	0.9132	0.9340
42.0	0.8967	0.9155	0.9333
43.0	0.9018	0.9191	0.9343
44.0	0.9043	0.9229	0.9410
45.0	0.9043	0.9215	0.9397
46.0	0.9035	0.9163	0.9379
47.0	0.9031	0.9197	0.9366
48.0	0.9076	0.9239	0.9411
49.0	0.9078	0.9323	0.9442
50.0	0.9075	0.9253	0.9424
51.0	0.9101	0.9250	0.9422
52.0	0.9096	0.9209	0.9462
53.0	0.9057	0.9272	0.9436
54.0	0.9049	0.9204	0.9370
55.0	0.9117	0.9226	0.9434
56.0	0.9117	0.9269	0.9510
57.0	0.9121	0.9300	0.9468
58.0	0.9176	0.9347	0.9460
59.0	0.9181	0.9337	0.9484
60.0	0.9148	0.9371	0.9505
61.0	0.9183	0.9379	0.9584
62.0	0.9205	0.9381	0.9628
63.0	0.9165	0.9396	0.9571
64.0	0.9164	0.9350	0.9563
65.0	0.9175	0.9315	0.9634
66.0	0.9149	0.9323	0.9568
67.0	0.9168	0.9318	0.9537
68.0	0.9198	0.9325	0.9521
69.0	0.9193	0.9323	0.9484
70.0	0.9146	0.9290	0.9431
71.0	0.9184	0.9301	0.9429
72.0	0.9174	0.9274	0.9448
73.0	0.9169	0.9297	0.9449
74.0	0.9143	0.9314	0.9460
75.0	0.9119	0.9314	0.9461
76.0	0.9151	0.9313	0.9477
77.0	0.9171	0.9296	0.9443
78.0	0.9142	0.9337	0.9430
79.0	0.9140	0.9255	0.9463
80.0	0.9094	0.9293	0.9467
81.0	0.9128	0.9324	0.9428
82.0	0.9101	0.9312	0.9484
83.0	0.9125	0.9306	0.9506
84.0	0.9118	0.9296	0.9475
85.0	0.9071	0.9309	0.9459
86.0	0.9186	0.9290	0.9468
87.0	0.9168	0.9317	0.9445
88.0	0.9164	0.9304	0.9448
89.0	0.9103	0.9296	0.9492
90.0	0.9127	0.9311	0.9466
91.0	0.9065	0.9269	0.9430
92.0	0.9095	0.9269	0.9449
93.0	0.9127	0.9301	0.9476
94.0	0.9136	0.9352	0.9487
95.0	0.9152	0.9363	0.9508
96.0	0.9157	0.9347	0.9516
97.0	0.9160	0.9313	0.9471
98.0	0.9197	0.9332	0.9492
99.0	0.9175	0.9302	0.9481
